date,open,high,low,close,adj_close,volume
2025-10-14,5869.0,5885.0,5794.0,5800.5,5800.5,176227
2025-10-15,5815.0,5880.5,5782.0,5857.5,5857.5,221062
2025-10-16,5876.0,6040.5,5858.0,6025.5,6025.5,364305
2025-10-17,6037.0,6149.0,5994.0,6083.0,6083.0,392965
2025-10-20,6124.0,6148.0,6062.5,6070.0,6070.0,181283
2025-10-21,6108.0,6108.0,6050.0,6075.0,6075.0,9159
2025-10-23,6075.0,6145.0,6049.0,6068.0,6068.0,255605
2025-10-24,6068.0,6069.5,5987.0,6053.0,6053.0,82081
2025-10-27,6053.0,6053.0,5811.5,5912.0,5912.0,433152
2025-10-28,5939.0,5939.0,5806.5,5861.0,5861.0,392984
2025-10-29,5894.0,5906.0,5840.0,5852.5,5852.5,119742
2025-10-30,5850.0,5869.5,5792.0,5859.5,5859.5,258697
2025-10-31,5878.0,5905.0,5825.0,5836.5,5836.5,264794
2025-11-03,5834.0,5899.5,5775.0,5820.5,5820.5,279737
2025-11-04,5820.5,5920.0,5805.0,5892.5,5892.5,363441
2025-11-05,5892.5,5892.5,5892.5,5892.5,5892.5,0
2025-11-06,6186.0,6191.5,5993.5,6013.5,6013.5,1038063
2025-11-07,5970.0,6169.5,5913.5,6157.5,6157.5,715809
2025-11-10,6190.0,6261.5,6121.5,6133.5,6133.5,395489
2025-11-11,5950.0,5965.0,5723.0,5950.5,5950.5,2154927
2025-11-12,5950.5,5970.0,5841.0,5880.0,5880.0,609987
2025-11-13,5902.0,5918.0,5835.5,5851.5,5851.5,361321
2025-11-14,5851.0,5851.0,5750.0,5803.5,5803.5,415356
2025-11-17,5803.5,5850.0,5782.0,5830.5,5830.5,332821
2025-11-18,5818.0,5862.0,5805.5,5840.0,5840.0,262201
2025-11-19,5850.0,5882.5,5804.5,5874.5,5874.5,280409
2025-11-20,5882.0,5900.0,5763.5,5819.0,5819.0,641980
2025-11-21,5816.0,5855.0,5764.5,5813.0,5813.0,320317
2025-11-24,5815.0,5849.0,5785.0,5815.5,5815.5,696665
2025-11-25,5815.5,5878.0,5790.0,5867.0,5867.0,309271
2025-11-26,5865.0,5904.5,5843.0,5880.5,5880.5,157291
2025-11-27,5890.5,5900.0,5815.5,5826.5,5826.5,156675
2025-11-28,5826.5,5852.0,5795.0,5846.0,5846.0,220417
2025-12-01,5825.0,5856.0,5800.0,5813.5,5813.5,199275
2025-12-02,5792.0,5894.0,5792.0,5875.5,5875.5,290994
2025-12-03,5908.0,5908.0,5812.0,5824.5,5824.5,308053
2025-12-04,5840.0,5882.5,5824.5,5876.5,5876.5,239085
2025-12-05,5855.0,5974.0,5838.5,5961.0,5961.0,244408
2025-12-08,5961.0,5985.0,5825.0,5847.5,5847.5,185407
2025-12-09,5850.0,5893.0,5780.0,5884.0,5884.0,174714
2025-12-10,5904.0,5966.0,5812.0,5828.5,5828.5,329466
2025-12-11,5840.0,5895.0,5813.0,5847.0,5847.0,115481
2025-12-12,5848.0,5925.5,5830.0,5915.5,5915.5,202721
