date,open,high,low,close,adj_close,volume
2025-10-14,5582.5,5591.0,5540.0,5571.5,5571.5,375269
2025-10-15,5580.0,5609.0,5447.0,5537.5,5537.5,484777
2025-10-16,5577.0,5612.0,5551.5,5579.5,5579.5,294066
2025-10-17,5582.0,5625.0,5550.5,5592.5,5592.5,435204
2025-10-20,5620.0,5694.0,5606.5,5641.0,5641.0,368799
2025-10-21,5667.0,5668.0,5631.0,5646.5,5646.5,40575
2025-10-23,5715.0,5717.0,5561.5,5588.5,5588.5,489097
2025-10-24,5615.0,5625.0,5484.5,5540.5,5540.5,546761
2025-10-27,5570.0,5662.0,5550.0,5646.5,5646.5,424721
2025-10-28,5640.0,5665.0,5575.0,5609.5,5609.5,539756
2025-10-29,5637.5,5638.5,5527.0,5551.5,5551.5,432099
2025-10-30,5570.5,5587.5,5493.0,5515.0,5515.0,402078
2025-10-31,5514.5,5625.0,5501.0,5544.0,5544.0,424188
2025-11-03,5579.5,5579.5,5482.0,5539.0,5539.0,223771
2025-11-04,5475.0,5475.0,5252.5,5309.0,5309.0,2003141
2025-11-05,5309.0,5309.0,5309.0,5309.0,5309.0,0
2025-11-06,5352.5,5408.5,5305.0,5326.0,5326.0,815323
2025-11-07,5305.0,5324.0,5258.0,5296.0,5296.0,436406
2025-11-10,5310.0,5410.0,5300.5,5359.5,5359.5,347961
2025-11-11,5375.5,5430.0,5331.0,5417.5,5417.5,348232
2025-11-12,5440.0,5557.0,5421.5,5534.0,5534.0,534031
2025-11-13,5554.0,5594.5,5485.5,5508.5,5508.5,585663
2025-11-14,5521.5,5629.5,5462.5,5538.5,5538.5,938647
2025-11-17,5589.0,5810.0,5571.0,5798.5,5798.5,1770568
2025-11-18,5820.0,5882.0,5789.5,5799.5,5799.5,1182455
2025-11-19,5851.0,5916.5,5835.0,5876.5,5876.5,935374
2025-11-20,5950.0,6042.0,5921.5,5999.5,5999.5,1276202
2025-11-21,5970.0,6038.0,5957.5,6002.5,6002.5,703572
2025-11-24,6003.0,6049.0,5972.0,5982.0,5982.0,1349305
2025-11-25,6000.0,6087.5,5969.5,6081.5,6081.5,707293
2025-11-26,6083.5,6146.0,6052.0,6136.5,6136.5,452071
2025-11-27,6137.0,6200.0,6097.0,6151.0,6151.0,352120
2025-11-28,6152.0,6239.0,6128.0,6174.5,6174.5,504441
2025-12-01,6230.0,6333.5,6210.5,6295.5,6295.5,912454
2025-12-02,6330.0,6340.0,6231.0,6270.5,6270.5,809216
2025-12-03,6294.0,6294.0,6191.0,6211.5,6211.5,543787
2025-12-04,6248.0,6351.0,6239.5,6340.0,6340.0,883433
2025-12-05,6335.0,6388.5,6305.0,6350.5,6350.5,651633
2025-12-08,6310.0,6351.0,6144.5,6167.0,6167.0,707514
2025-12-09,6164.0,6164.0,5966.0,6001.0,6001.0,1186776
2025-12-10,6028.0,6044.5,5915.5,5945.5,5945.5,820197
2025-12-11,5945.5,6019.5,5905.5,5979.5,5979.5,695094
2025-12-12,6003.5,6037.5,5950.5,5960.0,5960.0,679186
