date,open,high,low,close,adj_close,volume
2025-10-14,56598.6484375,56721.30078125,56230.1484375,56496.44921875,56496.44921875,129800
2025-10-15,56528.94921875,56922.69921875,56491.8515625,56799.8984375,56799.8984375,123700
2025-10-16,57139.94921875,57525.80078125,56994.69921875,57422.55078125,57422.55078125,148600
2025-10-17,57362.8984375,57830.19921875,57238.6484375,57713.3515625,57713.3515625,147200
2025-10-20,57872.8515625,58261.55078125,57872.8515625,58033.19921875,58033.19921875,341700
2025-10-21,58063.3984375,58155.55078125,57887.19921875,58007.19921875,58007.19921875,39000
2025-10-23,58314.55078125,58577.5,57951.44921875,58078.05078125,58078.05078125,291600
2025-10-24,58172.75,58232.8984375,57482.05078125,57699.6015625,57699.6015625,132100
2025-10-27,57796.44921875,58224.55078125,57652.75,58114.25,58114.25,153000
2025-10-28,58006.55078125,58313.80078125,57770.3515625,58214.1015625,58214.1015625,256100
2025-10-29,58316.25,58469.8984375,58087.05078125,58385.25,58385.25,151800
2025-10-30,58152.05078125,58331.19921875,57999.19921875,58031.1015625,58031.1015625,223000
2025-10-31,57942.44921875,58254.94921875,57656.94921875,57776.3515625,57776.3515625,307900
2025-11-03,57726.8515625,58247.55078125,57718.3984375,58101.44921875,58101.44921875,27800
2025-11-04,57966.6484375,58119.6484375,57732.94921875,57827.05078125,57827.05078125,168600
2025-11-06,57714.80078125,57945.05078125,57521.0,57554.25,57554.25,170400
2025-11-07,57391.3984375,58001.3515625,57157.8515625,57876.80078125,57876.80078125,142400
2025-11-10,57846.19921875,58097.19921875,57846.19921875,57937.55078125,57937.55078125,123400
2025-11-11,57962.30078125,58187.3515625,57594.25,58138.1484375,58138.1484375,119600
2025-11-12,58505.3515625,58507.69921875,58171.8515625,58274.6484375,58274.6484375,149300
2025-11-13,58158.75,58615.94921875,58127.1015625,58381.94921875,58381.94921875,121200
2025-11-14,58050.0,58590.1484375,58050.0,58517.55078125,58517.55078125,114800
2025-11-17,58696.30078125,59001.55078125,58605.30078125,58962.69921875,58962.69921875,157500
2025-11-18,58990.5,59103.6484375,58798.8984375,58899.25,58899.25,145500
2025-11-19,58908.1484375,59264.25,58688.55078125,59216.05078125,59216.05078125,149800
2025-11-20,59308.19921875,59440.1015625,59125.25,59347.69921875,59347.69921875,120000
2025-11-21,59116.69921875,59232.1484375,58823.6484375,58867.69921875,58867.69921875,121400
2025-11-24,58996.8984375,59309.8984375,58649.5,58835.3515625,58835.3515625,190400
2025-11-25,58925.6484375,59166.1484375,58746.19921875,58820.30078125,58820.30078125,137400
2025-11-26,58783.05078125,59554.94921875,58783.05078125,59528.05078125,59528.05078125,140200
2025-11-27,59605.30078125,59866.6015625,59523.0,59737.30078125,59737.30078125,137800
2025-11-28,59758.69921875,59897.5,59598.94921875,59752.69921875,59752.69921875,100000
2025-12-01,60102.05078125,60114.30078125,59527.6015625,59681.3515625,59681.3515625,122300
2025-12-02,59354.19921875,59656.55078125,59251.94921875,59273.80078125,59273.80078125,207100
2025-12-03,59158.69921875,59414.8984375,58925.69921875,59348.25,59348.25,166400
2025-12-04,59287.1015625,59548.69921875,59062.1484375,59288.69921875,59288.69921875,109600
2025-12-05,59133.19921875,59806.6015625,59106.55078125,59777.19921875,59777.19921875,119500
2025-12-08,59672.05078125,59713.1484375,59030.6015625,59238.55078125,59238.55078125,131200
2025-12-09,58918.8515625,59358.25,58878.44921875,59222.3515625,59222.3515625,137800
2025-12-10,59281.55078125,59440.8984375,58853.8984375,58960.3984375,58960.3984375,105200
2025-12-11,58966.19921875,59423.3515625,58799.8984375,59209.8515625,59209.8515625,96900
2025-12-12,59401.5,59545.69921875,59224.8515625,59389.94921875,59389.94921875,0
