date,open,high,low,close,adj_close,volume
2025-10-14,5360.0,5438.0,5287.39990234375,5337.89990234375,5337.89990234375,406572
2025-10-15,5522.0,5738.39990234375,5465.5,5724.60009765625,5724.60009765625,3470286
2025-10-16,5722.10009765625,5850.0,5703.2001953125,5841.5,5841.5,940813
2025-10-17,5800.0,5825.0,5725.0,5755.7001953125,5755.7001953125,469353
2025-10-20,5783.39990234375,5859.89990234375,5768.7001953125,5844.7001953125,5844.7001953125,373324
2025-10-21,5825.0,5860.0,5785.0,5800.10009765625,5800.10009765625,33872
2025-10-23,5910.0,5977.0,5816.7998046875,5835.89990234375,5835.89990234375,906223
2025-10-24,5843.89990234375,5929.2998046875,5800.0,5826.0,5826.0,383009
2025-10-27,5880.0,5900.0,5845.10009765625,5878.10009765625,5878.10009765625,232662
2025-10-28,5782.0,5874.7998046875,5782.0,5826.89990234375,5826.89990234375,425499
2025-10-29,5830.0,5915.5,5815.39990234375,5891.10009765625,5891.10009765625,307900
2025-10-30,5891.10009765625,5967.0,5881.0,5961.7001953125,5961.7001953125,241544
2025-10-31,5961.7001953125,5965.0,5875.10009765625,5916.60009765625,5916.60009765625,336904
2025-11-03,5920.0,5940.0,5853.0,5931.0,5931.0,135144
2025-11-04,5920.0,5955.0,5814.5,5858.5,5858.5,338741
2025-11-05,5858.5,5858.5,5858.5,5858.5,5858.5,0
2025-11-06,5926.5,5926.5,5796.5,5842.0,5842.0,341274
2025-11-07,5842.0,5842.0,5699.0,5781.0,5781.0,279260
2025-11-10,5789.0,5889.0,5766.5,5864.5,5864.5,304472
2025-11-11,5899.5,6040.0,5880.5,6031.0,6031.0,766563
2025-11-12,6045.5,6168.0,6045.5,6134.5,6134.5,505785
2025-11-13,6135.0,6185.5,6077.5,6137.0,6137.0,301945
2025-11-14,6100.0,6136.5,6034.0,6101.0,6101.0,198063
2025-11-17,6129.0,6135.0,6069.0,6116.5,6116.5,239271
2025-11-18,6110.0,6125.0,6062.0,6079.5,6079.5,255511
2025-11-19,6080.0,6342.0,6076.0,6316.0,6316.0,874803
2025-11-20,6316.0,6419.0,6315.0,6350.5,6350.5,481898
2025-11-21,6324.5,6370.0,6262.5,6296.5,6296.5,342405
2025-11-24,6300.0,6426.5,6297.0,6374.5,6374.5,1378541
2025-11-25,6421.5,6421.5,6324.0,6370.5,6370.5,225848
2025-11-26,6404.5,6421.5,6360.0,6415.0,6415.0,167018
2025-11-27,6425.0,6478.0,6383.5,6432.0,6432.0,445809
2025-11-28,6440.0,6455.0,6318.5,6353.0,6353.0,208808
2025-12-01,6375.5,6425.0,6331.0,6406.0,6406.0,199542
2025-12-02,6390.0,6447.0,6337.5,6393.5,6393.5,253320
2025-12-03,6393.5,6408.0,6295.0,6331.0,6331.0,342367
2025-12-04,6380.0,6528.5,6334.0,6452.0,6452.0,668828
2025-12-05,6453.0,6531.5,6428.0,6520.5,6520.5,204572
2025-12-08,6551.0,6553.0,6311.0,6347.0,6347.0,354529
2025-12-09,6336.5,6358.0,6217.0,6302.0,6302.0,482730
2025-12-10,6321.5,6373.0,6013.5,6033.5,6033.5,518858
2025-12-11,6041.5,6229.5,6019.0,6204.0,6204.0,578216
2025-12-12,6240.0,6357.0,6204.0,6336.5,6336.5,311443
