date,open,high,low,close,adj_close,volume
2025-10-14,5370.0,5410.0,5312.5,5335.0,5335.0,174112
2025-10-15,5335.0,5382.5,5320.5,5367.5,5367.5,141704
2025-10-16,5388.0,5430.0,5355.0,5403.5,5403.5,122296
2025-10-17,5403.5,5420.0,5335.5,5369.5,5369.5,193891
2025-10-20,5369.5,5425.0,5351.5,5397.5,5397.5,91698
2025-10-21,5424.5,5445.0,5270.0,5354.5,5354.5,46044
2025-10-23,5401.5,5490.0,5364.5,5471.0,5471.0,289323
2025-10-24,5499.5,5569.0,5462.0,5544.0,5544.0,216677
2025-10-27,5549.0,5625.0,5520.0,5585.5,5585.5,212923
2025-10-28,5600.0,5600.0,5521.5,5545.0,5545.0,138538
2025-10-29,5556.5,5574.5,5492.0,5538.5,5538.5,81128
2025-10-30,5555.0,5587.0,5502.5,5539.5,5539.5,123485
2025-10-31,5539.5,5539.5,5412.5,5454.5,5454.5,87662
2025-11-03,5453.0,5455.0,5394.5,5434.0,5434.0,67952
2025-11-04,5440.0,5464.0,5360.0,5381.0,5381.0,89899
2025-11-05,5381.0,5381.0,5381.0,5381.0,5381.0,0
2025-11-06,5379.5,5379.5,5221.0,5242.5,5242.5,222332
2025-11-07,5213.0,5213.0,5126.5,5180.0,5180.0,172150
2025-11-10,5180.0,5249.0,5151.0,5207.0,5207.0,110874
2025-11-11,5206.5,5306.5,5174.0,5283.5,5283.5,102792
2025-11-12,5283.5,5480.0,5269.0,5388.0,5388.0,208841
2025-11-13,5408.5,5422.5,5300.0,5307.5,5307.5,72589
2025-11-14,5300.0,5306.5,5234.5,5266.5,5266.5,125968
2025-11-17,5266.5,5312.0,5200.0,5303.0,5303.0,135921
2025-11-18,5302.0,5349.0,5260.0,5277.0,5277.0,134520
2025-11-19,5270.0,5385.0,5251.5,5347.5,5347.5,137005
2025-11-20,5399.0,5399.0,5336.0,5366.5,5366.5,161695
2025-11-21,5324.0,5366.5,5300.0,5320.5,5320.5,162673
2025-11-24,5326.0,5405.0,5129.0,5231.0,5231.0,5075701
2025-11-25,5165.0,5213.0,5150.0,5164.0,5164.0,188860
2025-11-26,5174.5,5244.0,5125.0,5229.5,5229.5,169001
2025-11-27,5231.5,5261.5,5165.0,5197.0,5197.0,106818
2025-11-28,5205.5,5206.0,5150.0,5158.5,5158.5,136784
2025-12-01,5183.5,5194.0,5106.0,5123.0,5123.0,110148
2025-12-02,5123.0,5166.5,5097.0,5127.0,5127.0,227935
2025-12-03,5130.0,5229.0,5130.0,5174.5,5174.5,289306
2025-12-04,5171.5,5258.0,5170.5,5216.5,5216.5,273807
2025-12-05,5220.0,5269.0,5196.0,5217.5,5217.5,262396
2025-12-08,5217.5,5229.5,5008.0,5034.5,5034.5,242850
2025-12-09,5034.0,5035.0,4948.0,4979.5,4979.5,146223
2025-12-10,5002.5,5003.0,4855.0,4863.0,4863.0,183782
2025-12-11,4895.0,5026.5,4864.0,5016.5,5016.5,139396
2025-12-12,5026.5,5040.0,4988.5,5030.5,5030.5,82176
